"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.142833342E-3,-4.544699249E0,5.118755493E0,6.584208069E0,9.497775790E0
1.212083333E-2,-4.418811035E0,5.217999115E0,6.812483368E0,9.652115590E0
2.209883335E-2,-4.197720795E0,5.067412262E0,6.795718231E0,9.459456284E0
3.207683333E-2,-3.976780243E0,4.541555786E0,6.956034851E0,9.210153685E0
4.205483332E-2,-3.759581909E0,3.989803162E0,7.312743073E0,9.139430871E0
5.203283334E-2,-3.603157196E0,3.741768951E0,7.877069550E0,9.435666450E0
6.201083332E-2,-3.685785370E0,3.773203583E0,8.039182434E0,9.615120035E0
7.198883334E-2,-3.900438995E0,3.950435028E0,7.897576904E0,9.653552829E0
8.196683333E-2,-4.134552155E0,4.193379822E0,7.992928619E0,9.928034235E0
9.194383334E-2,-4.308640137E0,4.353846130E0,8.357420654E0,1.036179695E1
1.019218333E-1,-4.436025238E0,4.283193054E0,8.564589844E0,1.055349524E1
1.118998333E-1,-4.491110687E0,4.139940948E0,8.925489349E0,1.081543094E1
1.218778333E-1,-4.411326599E0,4.056863708E0,9.177116089E0,1.096072102E1
1.318558333E-1,-4.331542511E0,3.976181488E0,9.156908112E0,1.088215263E1
1.418338333E-1,-4.079915771E0,3.991449738E0,8.734785919E0,1.043426417E1
1.518118333E-1,-3.995341644E0,3.808081055E0,8.570278015E0,1.019381682E1
1.617898333E-1,-3.901337128E0,3.554658051E0,8.856632538E0,1.030999346E1
1.717678333E-1,-3.790866852E0,3.352727966E0,9.435778198E0,1.070725766E1
1.817458333E-1,-3.569177856E0,3.194207611E0,1.002869522E1,1.111380766E1
1.917238333E-1,-3.177442474E0,3.084635468E0,1.031534912E1,1.122575361E1
2.017018333E-1,-2.722538452E0,2.985840912E0,1.031011002E1,1.107365478E1
2.116798333E-1,-2.073787537E0,2.822081451E0,1.044093796E1,1.101262566E1
2.216578333E-1,-1.217268677E0,2.451901245E0,1.039737854E1,1.075169955E1
2.316348333E-1,-7.018904114E-1,2.131118317E0,1.016910324E1,1.041369176E1
2.416128333E-1,-6.186634827E-1,2.986289978E0,7.543862457E0,8.136985505E0
2.515908333E-1,-4.185296631E-1,3.360362091E0,4.829556885E0,5.898459135E0
2.615688333E-1,-8.457412720E-2,2.404599609E0,6.456822968E0,6.890559839E0
2.715468333E-1,-2.791694641E-1,1.047821045E0,9.083710327E0,9.148205170E0
2.815248333E-1,-1.200503540E0,3.968247986E-1,1.044438080E1,1.052063539E1
2.915028333E-1,-2.410886536E0,4.806504822E-1,1.017344421E1,1.046624890E1
3.014808333E-1,-3.512296143E0,2.035766602E-1,9.862690430E0,1.047140536E1
