Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
175.0081613,-4.514013062,-15.31570084,3.162623291,16.27725997,0.0,0.0
175.0181393,-4.908742218,-15.90248062,4.697830811,17.2931852,0.0,0.0
175.0281173,-6.214925995,-15.70908279,4.384232941,17.45342619,0.0,0.0
175.0380943,-7.828720093,-15.41150162,3.613036652,17.65948114,0.0,0.0
175.0480723,-9.120234375,-14.73670486,3.024161224,17.59246135,0.0,0.0
175.0580503,-10.52955368,-13.61374008,2.2746698,17.36028636,0.0,0.0
175.0680273,-11.24746078,-12.4761058,1.413360901,16.85693267,0.0,0.0
175.0780053,-11.68604874,-11.74951675,1.018631744,16.6027856,0.0,0.0
175.0879833,-12.14244965,-11.07561813,1.53984787,16.50695405,0.0,0.0
175.0979603,-13.26242065,-9.639953613,4.910987549,17.11544057,0.0,0.0
175.1079383,-13.41390564,-6.837780762,5.261558533,15.94904726,0.0,0.0
175.1179163,-11.37933655,-3.997287598,0.8828640747,12.09326496,0.0,0.0
175.1278933,-8.162975006,-2.366129608,-7.93320282,11.62619616,0.0,0.0
175.1378713,-5.160518646,-1.85344574,-15.86520813,16.78603714,0.0,0.0
175.1478493,-4.012406158,-1.999242554,-9.732910309,10.71568556,0.0,0.0
175.1578273,-4.368216248,-1.822609863,-2.987038422,5.596929375,0.0,0.0
175.1678043,-4.496948547,-1.814227295,1.589993591,5.10314085,0.0,0.0
175.1777823,-4.035458221,-2.372117157,4.885540466,6.766119162,0.0,0.0
175.1877603,-3.612437897,-2.810405731,7.123087463,8.466785868,0.0,0.0
175.1977379,-3.5500177,-3.092119904,7.945926361,9.23588528,0.0,0.0
175.2077159,-3.738775177,-3.051404572,7.818840637,9.188241322,0.0,0.0
175.2176939,-3.851490784,-3.255879364,6.832242279,8.492011908,0.0,0.0
175.2276709,-3.801494751,-3.442541199,5.320835266,7.390110972,0.0,0.0
175.2376489,-3.30198349,-3.554208984,3.266656952,5.84863609,0.0,0.0
175.2476269,-2.734214172,-3.729494476,2.430495758,5.224209588,0.0,0.0
175.2576039,-2.17048645,-3.559148712,2.64200592,4.935458061,0.0,0.0
