"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.111999646E-3,6.475534058E-1,3.518283691E0,7.264543304E0,8.097606743E0
1.414899994E-2,6.794371033E-1,3.535797272E0,7.764952698E0,8.559088008E0
2.418600023E-2,7.238946533E-1,3.538192291E0,7.969876556E0,8.749957742E0
3.422300052E-2,7.955955505E-1,3.568429413E0,8.065228271E0,8.855200044E0
4.425999988E-2,6.122268677E-1,3.588936768E0,8.075556793E0,8.858324129E0
5.429700017E-2,-1.284329224E-1,3.898043976E0,8.130941620E0,9.017951734E0
6.433499977E-2,6.890171814E-1,4.189188538E0,8.612789612E0,9.602301296E0
7.437200006E-2,-2.038760376E-1,3.575464783E0,7.996521149E0,8.761841378E0
8.440900035E-2,-7.432044983E-1,2.985242157E0,7.108268280E0,7.745418104E0
9.444599971E-2,-2.116598511E-1,2.666704559E0,6.870562592E0,7.372973852E0
1.044830000E-1,-8.125103760E-1,1.837279358E0,5.835016022E0,6.171157146E0
1.145200003E-1,-1.046324158E0,1.565594330E0,5.074297943E0,5.412428241E0
1.245569997E-1,-5.258564758E-1,1.665287018E0,4.455784149E0,4.785782932E0
1.345939999E-1,1.420545959E-1,2.729723511E0,5.027744751E0,5.722742982E0
1.446310002E-1,1.469344482E0,3.552861786E0,9.059311066E0,9.841387964E0
1.546680005E-1,2.066303101E0,3.187022552E0,1.010728180E1,1.079740092E1
1.647060001E-1,1.844464417E0,2.291884003E0,9.193581848E0,9.652809356E0
1.747430004E-1,5.629792786E-1,1.462758179E0,8.870703278E0,9.008106560E0
1.847799998E-1,-7.674540710E-1,8.750802612E-1,9.397308197E0,9.469115722E0
1.948170001E-1,-1.661544800E0,4.665797424E-1,9.748477936E0,9.900063123E0
2.048540004E-1,-1.594783630E0,3.367996216E-2,9.215436401E0,9.352472253E0
2.148909997E-1,-1.666185150E0,2.454895020E-2,8.587791595E0,8.747967769E0
2.249280000E-1,-1.501677246E0,7.765850830E-1,7.612120514E0,7.797595633E0
2.349650003E-1,-1.017883301E0,8.955876160E-1,7.113357697E0,7.241410174E0
2.450019997E-1,-4.201762390E-1,8.330177307E-1,7.330256653E0,7.389393020E0
2.550400002E-1,8.033793640E-1,8.493338013E-1,7.260801086E0,7.354319732E0
2.650770005E-1,2.405497742E0,1.553619232E0,6.930438080E0,7.498741500E0
2.751139998E-1,3.755390625E0,1.569635925E0,7.244035950E0,8.309198068E0
2.851510001E-1,3.851490784E0,1.600621490E0,6.057752838E0,7.354749476E0
2.951880004E-1,3.575464783E0,1.753303986E0,6.059249725E0,7.250691726E0
3.052249998E-1,3.139421539E0,1.631157990E0,7.732470245E0,8.503395797E0
3.152620001E-1,2.624043274E0,1.534010010E0,9.057514801E0,9.553918787E0
3.252990004E-1,2.857707367E0,1.950294342E0,1.079465240E1,1.133554851E1
3.353359997E-1,1.923350372E0,2.326162720E0,1.249436783E1,1.285377521E1
3.453740003E-1,1.001417542E0,2.788102112E0,1.284763321E1,1.318476506E1
3.554109996E-1,1.167572021E-1,2.928210754E0,1.008632538E1,1.050342849E1
3.654479999E-1,-3.493734741E-1,2.705473938E0,7.869285736E0,8.328703924E0
3.754850002E-1,-1.327738953E-1,2.509531403E0,7.850724335E0,8.243133467E0
3.855220005E-1,3.373983765E-1,2.128274231E0,8.253985748E0,8.530631254E0
3.955589999E-1,5.363346863E-1,1.554966431E0,8.050708466E0,8.217023932E0
4.055960001E-1,2.399061127E0,2.589465179E0,4.934937744E0,6.067489987E0
4.156330004E-1,1.863624573E0,5.774392090E0,9.523795166E0,1.129244769E1
4.256699998E-1,-3.193010101E0,3.183280334E0,1.015054184E1,1.110684865E1
4.357063333E-1,-3.943549347E0,1.246457977E0,4.902904358E0,6.414336293E0
4.457443338E-1,-1.406475220E0,1.583706665E0,2.506986694E0,3.281963076E0
4.557813331E-1,2.001637573E0,6.691085815E-1,1.645977173E0,2.676471581E0
4.658183334E-1,8.896000671E-1,-1.199306030E0,5.407954102E0,5.610320026E0
4.758553337E-1,-6.286926270E-2,-1.864073639E0,8.753946075E0,8.950435462E0
4.858923331E-1,7.358697510E-1,-1.609902191E0,1.117231705E1,1.131167351E1
4.959293334E-1,1.625320129E0,-1.300345917E0,1.257295441E1,1.274408677E1
5.059663337E-1,2.269730072E0,-5.176235962E-1,1.307396255E1,1.327961241E1
5.160033330E-1,2.163451080E0,-4.146377563E-2,1.333052902E1,1.350500810E1
