"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.439999975E-2,-4.042044525E0,7.482789459E0,4.542603607E0,9.641862349E0
2.443700004E-2,-3.735332336E0,7.381899261E0,4.806205444E0,9.567902338E0
3.447499964E-2,-3.509452057E0,7.380701752E0,5.120701447E0,9.644303780E0
4.451300018E-2,-3.335962830E0,7.354655914E0,5.306465149E0,9.663238794E0
5.454999954E-2,-3.275189209E0,7.284751282E0,5.227579193E0,9.545787019E0
6.458800007E-2,-3.263663177E0,7.194488983E0,4.846022644E0,9.268015134E0
7.462358288E-2,-3.396437073E0,7.142546997E0,4.322710876E0,9.013189875E0
8.466158342E-2,-3.763473816E0,7.144343262E0,3.966900787E0,8.996759287E0
9.469858278E-2,-3.864064636E0,7.311246185E0,3.649111633E0,9.038878913E0
1.047365833E-1,-3.477867737E0,7.442373505E0,3.611839142E0,8.973843623E0
1.147735827E-1,-2.790048065E0,7.353009338E0,3.961811371E0,8.806081074E0
1.248115832E-1,-1.980381775E0,7.153324585E0,4.872068481E0,8.878570599E0
1.348485835E-1,-1.302890625E0,6.894961853E0,6.438111877E0,9.522988369E0
1.448865831E-1,-9.111552429E-1,6.707551575E0,7.512727203E0,1.011249336E1
1.549235834E-1,-7.334747314E-1,6.692133636E0,8.416847076E0,1.077803101E1
1.649615830E-1,-9.457333374E-1,6.406377869E0,8.769364014E0,1.090127672E1
1.749985833E-1,-1.248104553E0,5.994135132E0,8.343200226E0,1.034873958E1
1.850365829E-1,-1.619033203E0,5.788163452E0,7.949967957E0,9.966247798E0
1.950745834E-1,-2.002685394E0,5.886359253E0,8.008945312E0,1.013919026E1
2.051115828E-1,-2.357447662E0,6.165079651E0,8.134384460E0,1.047539866E1
2.151495833E-1,-2.768043823E0,6.654112701E0,8.262967072E0,1.096430150E1
2.251865827E-1,-3.424428864E0,7.284152527E0,8.498876495E0,1.170540443E1
2.352245832E-1,-2.840642853E0,6.749015350E0,8.441396027E0,1.117477637E1
2.452615835E-1,-1.460063782E0,5.747597809E0,8.030201111E0,9.982524565E0
2.552995831E-1,-4.487667847E-1,4.979694672E0,7.667804718E0,9.153905169E0
2.653365834E-1,-7.783813477E-2,4.552632751E0,7.506140900E0,8.779218356E0
2.753745830E-1,1.258882141E-1,4.248764648E0,7.634424133E0,8.737979213E0
2.854115833E-1,4.477189636E-1,3.971690826E0,8.154143372E0,9.081015054E0
2.954495829E-1,7.162605286E-1,3.795656891E0,8.732839966E0,9.548954615E0
3.054865832E-1,8.890013123E-1,3.667972412E0,9.247170410E0,9.987717734E0
3.155245828E-1,1.261875916E0,3.168012085E0,1.002510269E1,1.058920750E1
3.255615830E-1,1.580263824E0,2.433339844E0,1.081111816E1,1.119368807E1
3.355995826E-1,1.450783081E0,1.683549042E0,1.056023987E1,1.079156036E1
3.456375832E-1,9.129515076E-1,1.413510590E0,1.027987289E1,1.041668274E1
3.556745835E-1,7.041357422E-1,1.951042786E0,1.007719437E1,1.028845087E1
3.657125831E-1,1.055155792E0,2.789299622E0,9.865684204E0,1.030656446E1
3.757495834E-1,1.572929077E0,3.073558502E0,9.786049805E0,1.037726546E1
3.857875830E-1,2.087558899E0,2.939287720E0,9.740843811E0,1.038659485E1
3.958245832E-1,2.509830780E0,2.638114014E0,9.854457550E0,1.050567607E1
4.058625828E-1,2.849324799E0,2.342628479E0,9.941426697E0,1.060370335E1
4.158995831E-1,2.763553162E0,2.362686768E0,9.708511047E0,1.036700061E1
4.259375827E-1,2.363285522E0,2.739303589E0,9.293573914E0,9.972934307E0
4.359745830E-1,1.582958221E0,3.141666870E0,8.933273163E0,9.600999784E0
4.460125826E-1,7.881111145E-1,3.262166290E0,8.860075378E0,9.474375111E0
4.560495829E-1,4.311035156E-1,3.184777222E0,9.089548187E0,9.640982442E0
4.660875835E-1,3.116519165E-1,3.279679871E0,9.397457886E0,9.958194700E0
4.761255831E-1,2.305206299E-1,3.528761902E0,9.771829376E0,1.039201375E1
4.861625833E-1,9.160949707E-2,3.695515137E0,1.019050873E1,1.084028102E1
4.962005829E-1,5.538482666E-2,3.593427429E0,1.038166122E1,1.098611296E1
5.062375832E-1,1.107696533E-2,3.343447266E0,1.049452652E1,1.101425663E1
5.162755828E-1,-1.463955688E-1,3.148702240E0,1.047850983E1,1.094234553E1
5.263125831E-1,-6.249504089E-1,3.243455200E0,1.025517426E1,1.077400407E1
5.363505827E-1,-1.479223938E0,3.736380157E0,1.004935226E1,1.082303659E1
5.463875830E-1,-2.258054352E0,4.329895935E0,9.936936035E0,1.107201454E1
5.564255835E-1,-2.596500549E0,4.395010529E0,9.801617432E0,1.105122785E1
5.664625829E-1,-2.708617401E0,3.607198792E0,9.689350891E0,1.068793769E1
