Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
140.0047027,3.766766968,-1.697320404,8.632997589,9.570688445,0.0,0.0
140.0147408,3.56872879,-1.727258148,8.710236969,9.570134479,0.0,0.0
140.0247777,3.378624115,-1.595831451,8.932674408,9.682688212,0.0,0.0
140.0348147,3.05858963,-1.470242615,9.316775665,9.915588367,0.0,0.0
140.0448518,2.65847168,-1.353335724,9.737251282,10.18396052,0.0,0.0
140.0548887,2.216440887,-1.213825836,10.14245865,10.45253322,0.0,0.0
140.0649268,1.855691071,-1.034648438,10.38166122,10.59683804,0.0,0.0
140.0749637,1.706900482,-0.8855584717,10.22029678,10.39962448,0.0,0.0
140.0850007,1.718426514,-0.6984475708,9.707612915,9.883246794,0.0,0.0
140.0950377,1.73638916,-0.4962181091,9.13131134,9.308175252,0.0,0.0
140.1050747,1.650018768,-0.2966830444,8.674461365,8.834979498,0.0,0.0
140.1151127,1.491348724,-0.1287322998,8.498128052,8.628955522,0.0,0.0
140.1251498,1.304237823,0.05837860107,8.663234711,8.761054732,0.0,0.0
140.1351867,1.183588715,0.2293231201,8.981173553,9.061729953,0.0,0.0
140.1452237,1.188229065,0.3781137085,9.298214264,9.381452275,0.0,0.0
140.1552617,1.315314789,0.5282514954,9.377698975,9.484215344,0.0,0.0
140.1652987,1.549278259,0.5791456604,9.282646637,9.428849421,0.0,0.0
140.1753357,1.827998657,0.5014572144,9.146429901,9.340782535,0.0,0.0
140.1853727,2.142045593,0.3978726196,9.105115814,9.362146973,0.0,0.0
140.1954097,2.452350311,0.2740800476,9.154662781,9.481402457,0.0,0.0
140.2054478,2.701582031,0.1901046753,9.191486206,9.582176367,0.0,0.0
140.2154843,2.882256317,0.1065783691,9.163494415,9.606684669,0.0,0.0
140.2255213,3.125949554,0.08143066406,9.102271729,9.624424252,0.0,0.0
140.2355583,3.34524353,-0.0001496887207,9.075327759,9.672240083,0.0,0.0
140.2455953,3.576811981,-0.04206253052,9.115893402,9.79259239,0.0,0.0
140.2556333,3.698957977,-0.07649093628,9.123527527,9.845145784,0.0,0.0
140.2656703,3.732039185,-0.1471440125,9.152716827,9.885443498,0.0,0.0
140.2757073,3.81092514,-0.2393522644,9.132808228,9.898920449,0.0,0.0
140.2857443,4.004622345,-0.3903881836,9.000782776,9.859183214,0.0,0.0
140.2957823,4.239034882,-0.62599823,8.767717438,9.758799085,0.0,0.0
140.3058193,4.539460144,-0.8541238403,8.516390076,9.688401615,0.0,0.0
140.3158563,4.800666962,-1.072669373,8.330626373,9.674521106,0.0,0.0
140.3258933,4.963827667,-1.165626068,8.186625824,9.644641602,0.0,0.0
140.3359303,5.097499695,-1.136736145,8.167765045,9.69479541,0.0,0.0
140.3459683,5.010680237,-1.133592682,8.278085632,9.742620312,0.0,0.0
140.3560053,4.804858246,-1.071621552,8.452772369,9.781840126,0.0,0.0
140.3660423,4.580025787,-0.8999285889,8.541687469,9.733803599,0.0,0.0
140.3760793,4.354295197,-0.7164102173,8.515042877,9.590572739,0.0,0.0
140.3861163,4.159550171,-0.5279521179,8.419541473,9.405810421,0.0,0.0
140.3961543,3.967499542,-0.3959266663,8.352480927,9.255363211,0.0,0.0
140.4061913,3.749253387,-0.3132984924,8.416098633,9.218772863,0.0,0.0
140.4162283,3.542233887,-0.2189945984,8.588839417,9.293198699,0.0,0.0
140.4262653,3.339106293,-0.1395098877,8.909622345,9.515800764,0.0,0.0
140.4363033,3.082240448,-0.05748046875,9.291029205,9.789113028,0.0,0.0
140.4463403,2.875819702,0.04805007935,9.584718475,10.00697137,0.0,0.0
140.4563773,2.679577789,0.1082249451,9.746681671,10.10888982,0.0,0.0
140.4664143,2.527044983,0.1157093811,9.8590979,10.17846533,0.0,0.0
140.4764513,2.442171478,0.1422042847,9.977501678,10.27302114,0.0,0.0
140.4864893,2.365231476,0.1463955688,10.02944366,10.30560487,0.0,0.0
140.4965263,2.30041626,0.08232879639,9.986033936,10.24790548,0.0,0.0
140.5065633,2.282752991,-0.02439926147,9.872120819,10.13263668,0.0,0.0
140.5166003,2.363285522,-0.1193019104,9.773925018,10.05628966,0.0,0.0
140.5266373,2.480791168,-0.2052232361,9.676777039,9.991819416,0.0,0.0
140.5366753,2.601290588,-0.3212319946,9.581724701,9.933748082,0.0,0.0
140.5467123,2.694995728,-0.4430786133,9.607770538,9.988422065,0.0,0.0
140.5567493,2.852168884,-0.5851332092,9.735604706,10.16165573,0.0,0.0
140.5667863,3.05514679,-0.7448510742,9.895322571,10.38297326,0.0,0.0
140.5768243,3.281925201,-0.9205856323,9.924362183,10.49340153,0.0,0.0
140.5868613,3.495680695,-1.068478088,9.781708832,10.44237792,0.0,0.0
140.5968983,3.713627472,-1.172062683,9.535321198,10.29985972,0.0,0.0
140.6069353,3.917204132,-1.262923737,9.363179169,10.22783402,0.0,0.0
140.6169723,4.097129974,-1.382375336,9.298363953,10.2546091,0.0,0.0
140.6270103,4.20415741,-1.450034637,9.122180328,10.14848333,0.0,0.0
140.6370473,4.278702393,-1.446891174,8.776549072,9.870592781,0.0,0.0
140.6470843,4.350253601,-1.350940704,8.559051361,9.695726243,0.0,0.0
140.6571213,4.337230682,-1.244811401,8.553213501,9.670500846,0.0,0.0
140.6671593,4.196223907,-1.220112762,8.619226227,9.663748289,0.0,0.0
140.6771963,4.044140167,-1.204994202,8.450527039,9.445553872,0.0,0.0
140.6872333,3.934867401,-1.060544586,8.146209869,9.108714043,0.0,0.0
140.6972703,3.859274597,-0.8828640747,8.030650177,8.953479305,0.0,0.0
140.7073073,3.802243195,-0.7807763672,8.199798431,9.072119893,0.0,0.0
140.7173453,3.722758484,-0.8443940735,8.452173615,9.27422077,0.0,0.0
140.7273823,3.535348206,-0.8996292114,8.41999054,9.176287939,0.0,0.0
140.7374193,3.614832916,-0.8065228271,8.191565552,8.989952295,0.0,0.0
140.7474563,3.771257629,-0.6611750793,8.128247223,8.984872815,0.0,0.0
140.7574933,3.819307709,-0.6198609924,8.182883606,9.051570203,0.0,0.0
140.7675313,3.770359497,-0.6584806824,8.144563293,8.999062106,0.0,0.0
