"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.474666668E-3,-1.710193634E0,7.104226685E0,7.797584839E0,1.068630565E1
1.441666667E-2,-1.552421722E0,7.442373505E0,8.526419220E0,1.142360544E1
2.435766667E-2,-1.684447174E0,7.595355377E0,9.821675720E0,1.252964882E1
3.429866667E-2,-1.736987915E0,7.565717010E0,1.103984253E1,1.349575207E1
4.424066667E-2,-1.790726166E0,7.341183929E0,1.193842392E1,1.412889406E1
5.418166667E-2,-1.765877838E0,7.019802246E0,1.255484207E1,1.449206706E1
6.412266666E-2,-1.482666779E0,6.669231262E0,1.288550446E1,1.458468963E1
7.406366669E-2,-1.118623810E0,6.373446350E0,1.310434937E1,1.461492764E1
8.400566666E-2,-8.235873413E-1,6.237828369E0,1.306917252E1,1.450489811E1
9.394666666E-2,-6.867718506E-1,6.151757355E0,1.261561569E1,1.405238533E1
1.038876667E-1,-6.351292419E-1,5.955216064E0,1.186941742E1,1.329477557E1
1.138296667E-1,-6.042933655E-1,5.716013489E0,1.100855759E1,1.241878902E1
1.237706667E-1,-4.285588074E-1,5.348078613E0,1.011296997E1,1.144804652E1
1.337116667E-1,7.993377686E-2,4.934937744E0,9.195078735E0,1.043597015E1
1.436536667E-1,4.357438660E-1,4.725373535E0,8.435707855E0,9.678852968E0
1.535946667E-1,4.122427368E-1,4.716242523E0,7.963290253E0,9.264279749E0
1.635356667E-1,9.370513916E-2,4.897515564E0,7.849526825E0,9.252540771E0
1.734766667E-1,-2.848576355E-1,5.035378876E0,8.029003601E0,9.481618170E0
1.834186667E-1,-4.926255798E-1,5.018763428E0,8.256979523E0,9.675142229E0
1.933596667E-1,-4.409829712E-1,4.833299103E0,8.347241821E0,9.655655971E0
2.033006667E-1,-2.266287231E-1,4.582720184E0,8.230783997E0,9.423295075E0
2.132426667E-1,-5.493576050E-2,4.371210022E0,7.927065582E0,9.052561170E0
2.231836667E-1,-1.047821045E-2,4.326453094E0,7.472910004E0,8.634969027E0
2.331246667E-1,-6.990463257E-2,4.386777649E0,6.988666992E0,8.251676868E0
2.430656667E-1,-8.981323242E-2,4.459376678E0,6.473139038E0,7.861020022E0
2.530076667E-1,-6.002517700E-2,4.591701508E0,5.875581665E0,7.457196904E0
2.629486667E-1,2.814147949E-2,4.670737152E0,5.239254913E0,7.019000608E0
2.728896667E-1,9.160949707E-2,4.671485596E0,4.839885406E0,6.727232768E0
2.828316667E-1,6.601272583E-2,4.666096802E0,4.733905792E0,6.647306304E0
2.927726667E-1,-5.194198608E-2,4.594395905E0,4.843178558E0,6.675893217E0
3.027136667E-1,-1.537303162E-1,4.555177460E0,5.052742767E0,6.804666353E0
3.126546667E-1,-1.802252197E-1,4.631818085E0,5.500312042E0,7.193028045E0
3.225966667E-1,-7.574249268E-2,4.831502838E0,6.385571136E0,8.007788417E0
3.325376667E-1,3.764671326E-1,4.995262299E0,7.366631012E0,8.908514208E0
3.424786667E-1,1.037193146E0,4.776567078E0,8.181536407E0,9.530419752E0
3.524206667E-1,1.376238098E0,4.243974609E0,8.460705872E0,9.564982783E0
3.623616667E-1,1.021775208E0,3.713477783E0,8.821156311E0,9.625317682E0
3.723026667E-1,4.685256958E-2,3.645818481E0,9.197174377E0,9.893543556E0
3.822446667E-1,-4.581971741E-1,3.619922333E0,9.816735992E0,1.047292165E1
3.921856667E-1,-7.982899475E-1,3.350632324E0,1.102173019E1,1.154740405E1
4.021266667E-1,-1.113684082E0,1.790426788E0,1.178574142E1,1.197287022E1
4.120676667E-1,-2.133962402E0,-6.584806824E-1,1.173484726E1,1.194546075E1
4.220096667E-1,-4.191882935E0,-8.481362915E-1,1.114686996E1,1.193917617E1
4.319506667E-1,-4.573140106E0,2.784210205E-2,1.040007294E1,1.136115763E1
4.418916667E-1,-4.098177795E0,-8.493338013E-1,1.012823822E1,1.095890682E1
4.518336667E-1,-3.565735016E0,-2.552342377E0,9.543254700E0,1.050250580E1
4.617746667E-1,-3.702251129E0,-3.659589844E0,8.788075104E0,1.021418256E1
4.717156667E-1,-4.298760681E0,-4.039649506E0,7.507937164E0,9.548153329E0
4.816566667E-1,-4.745431824E0,-3.858376465E0,6.008505249E0,8.573699754E0
4.915986667E-1,-4.328997803E0,-4.052373047E0,2.269879761E0,6.349354567E0
5.015396667E-1,-2.784808960E0,-3.520978088E0,-1.713786163E0,4.805154592E0
5.114806667E-1,-1.659748535E0,-2.499951324E0,-1.291813660E-1,3.003532861E0
5.214226667E-1,8.173004150E-2,-2.579136658E0,3.243754578E0,4.144945049E0
5.313636667E-1,2.097588043E0,-3.046614532E0,6.959328003E0,7.881242412E0
5.413046667E-1,3.657494202E0,-3.728596344E0,6.910679169E0,8.662400424E0
5.512466667E-1,4.243974609E0,-3.834126892E0,6.962471466E0,9.010430535E0
5.611876667E-1,2.743644562E0,-4.176764374E0,6.585405579E0,8.266832087E0
5.711286667E-1,1.075064392E0,-4.145329742E0,5.731581116E0,7.154756754E0
5.810696667E-1,2.457888794E-1,-3.684288483E0,5.009632416E0,6.223408290E0
5.910116667E-1,-4.188290405E-1,-3.110830994E0,4.988226929E0,5.893648711E0
6.009526667E-1,-3.649411011E-1,-2.825075226E0,4.999004517E0,5.753631740E0
6.108936667E-1,-4.950205994E-1,-3.023861847E0,4.275109863E0,5.259786137E0
6.208357083E-1,-1.306932220E0,-3.154839478E0,3.949087830E0,5.220764182E0
6.307767083E-1,-1.776655426E0,-3.253035278E0,4.202810211E0,5.603780572E0
6.407177083E-1,-2.097288666E0,-4.256249084E0,4.750820618E0,6.714504640E0
6.506597083E-1,-2.658172302E0,-4.618046722E0,4.995861053E0,7.304167522E0
6.606007083E-1,-3.679199066E0,-4.180207214E0,4.910388794E0,7.424456629E0
6.705417083E-1,-4.778812408E0,-3.593726807E0,5.405708771E0,8.060620802E0
6.804827084E-1,-5.623805237E0,-2.807861023E0,5.752836914E0,8.520938999E0
6.904247083E-1,-6.448889465E0,-2.367776184E0,6.067632294E0,9.165735161E0
7.003657084E-1,-8.284522247E0,-2.931803284E0,6.672524414E0,1.103409994E1
7.103067084E-1,-1.103400467E1,-4.007915497E0,7.946375427E0,1.417594893E1
