Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.015269875,-0.01167572021,6.353238373,7.241940308,9.633767361,0.0
0.025210875,-0.005688171387,6.280789032,8.012088776,10.18046707,0.0
0.035151875,-0.146844635,6.000721436,8.799750824,10.65203434,0.0
0.045093875,-0.3218307495,5.588628387,9.445657654,10.97983565,0.0
0.055034875,-0.5397775269,5.184169464,9.807006226,11.10604988,0.0
0.06497587502,-0.7813751221,4.957989807,9.89187973,11.09240707,0.0
0.07491687502,-1.039288788,4.877157898,9.686357117,10.89459979,0.0
0.08485787502,-1.247056732,4.861889648,9.349557495,10.61166089,0.0
0.09479887501,-1.260678406,4.929848328,9.016799469,10.35352052,0.0
0.104740875,-1.135838013,5.123695221,8.696615295,10.15743562,0.0
0.114681875,-0.9663903809,5.353916473,8.291707306,9.917194261,0.0
0.124622875,-0.920735321,5.51932251,7.884104919,9.66797729,0.0
0.134563875,-1.017733612,5.59416687,7.572003937,9.469198926,0.0
0.144504875,-1.209185486,5.686973877,7.322622528,9.350112411,0.0
0.154446875,-1.289568329,5.768105164,7.07788147,9.221194595,0.0
0.164387875,-1.187181244,5.743406525,6.931785278,9.079965031,0.0
0.174328875,-1.039438477,5.716462555,6.869065704,8.996801662,0.0
0.184269875,-0.9349557495,5.812712402,7.02758606,9.167809638,0.0
0.194210875,-0.850531311,5.951174469,7.449708252,9.572775674,0.0
0.204152875,-0.7087760925,5.934559021,7.884104919,9.89345565,0.0
0.214093875,-0.5384303284,5.796845398,8.160579987,10.02438973,0.0
0.224034875,-0.479153595,5.635930023,8.260422363,10.01138717,0.0
0.233975875,-0.5441184998,5.443879395,8.235873413,9.887441463,0.0
0.243916875,-0.7143145752,5.257666626,8.136480103,9.713681698,0.0
0.253858875,-0.8909472656,5.054239655,8.318351898,9.77415489,0.0
0.263799875,-1.139729919,4.84886673,8.83298172,10.14061433,0.0
0.273740875,-1.374292145,4.831053772,9.260492706,10.5349174,0.0
0.283681875,-1.496288452,4.908592529,9.311087494,10.63153376,0.0
0.293622875,-1.576521606,4.965324554,8.927435303,10.33629379,0.0
0.303564875,-1.800306244,5.105433197,8.283175049,9.895329181,0.0
0.313505875,-2.008822632,5.303171997,7.613318024,9.493240381,0.0
0.323446875,-2.15177536,5.48654068,7.093449097,9.222216974,0.0
0.333387875,-2.141596527,5.615871735,6.839427338,9.105065477,0.0
0.343328875,-1.925296326,5.653144226,6.790479126,9.042975857,0.0
0.353270875,-1.550775146,5.695655823,6.846762085,9.040107845,0.0
0.363211875,-1.270857239,5.75687851,6.91636734,9.088061701,0.0
0.373152875,-1.230291595,5.872737579,7.084168396,9.283754949,0.0
0.383093875,-1.365310822,5.976022797,7.444469147,9.643497446,0.0
0.393034875,-1.526525574,6.093079376,8.034691772,10.19863562,0.0
0.402976875,-1.692230988,6.077661438,8.752449188,10.78920669,0.0
0.412917875,-1.78668457,5.818400574,9.329199829,11.13912009,0.0
0.422858875,-1.823807373,5.391937408,9.781110077,11.31677413,0.0
0.432799875,-1.857786713,4.936883698,10.16116974,11.44873629,0.0
0.442740875,-1.947300568,4.504283295,10.39049286,11.49099166,0.0
0.452682875,-2.11435318,4.067341919,10.44333298,11.40512882,0.0
0.462623875,-2.277513885,3.634891205,10.35022659,11.2038696,0.0
0.472564875,-2.424807587,3.254382477,10.15667908,10.93749638,0.0
0.482505875,-2.438129883,2.988235931,9.918674011,10.64209216,0.0
0.492446875,-2.399659882,2.834355927,9.554331665,10.25071679,0.0
0.502388625,-2.341131592,2.809956665,9.055718536,9.766411408,0.0
0.512329625,-2.430196381,3.058739319,8.815168762,9.642040291,0.0
0.522270625,-2.580483856,3.462898865,8.585246887,9.610256479,0.0
0.532211625,-2.562371521,3.821702728,8.312364349,9.500871572,0.0
0.542152625,-2.43962677,4.12572052,8.094118195,9.406811252,0.0
0.552094625,-2.258353729,4.415068817,7.940537567,9.361897835,0.0
0.562035625,-2.056124268,4.6382547,7.928562469,9.41292497,0.0
0.571976625,-1.839225311,4.81024704,8.054600372,9.560220368,0.0
0.581917625,-1.709145813,4.846172333,8.260721741,9.728622172,0.0
0.591858625,-1.65914978,4.803660736,8.620423737,10.00697956,0.0
0.601799625,-1.678160248,4.715045013,9.066196747,10.35585799,0.0
0.611741625,-1.71303772,4.565356293,9.513616333,10.69045705,0.0
0.621682625,-1.715582428,4.292623444,9.837393036,10.86941309,0.0
0.631623625,-1.714833984,3.955823822,9.959239655,10.85244913,0.0
0.641564625,-1.719324646,3.630400543,9.956844635,10.73660283,0.0
0.651505625,-1.714235229,3.394790497,9.822723541,10.533238,0.0
0.661447625,-1.622476044,3.230432281,9.561367035,10.22193039,0.0
0.671388625,-1.594484253,3.085832977,9.251062317,9.881644559,0.0
0.681329625,-1.643731842,3.090024261,8.971144409,9.629721508,0.0
0.691270625,-1.733844452,3.225342865,8.845555573,9.573552453,0.0
0.701211625,-1.791624298,3.391796722,8.832233276,9.629254762,0.0
0.711153625,-1.804647217,3.567082214,8.872200165,9.731226175,0.0
0.721094625,-1.719624023,3.668421478,8.921148376,9.798025887,0.0
0.731035625,-1.548380127,3.714375916,8.912316742,9.778724823,0.0
0.740976625,-1.354383545,3.782633972,8.866811371,9.734629856,0.0
0.750917625,-1.174607391,3.873794403,8.703950043,9.599204756,0.0
0.760859625,-1.033001862,3.952830048,8.510402527,9.440281214,0.0
0.770800625,-0.9961784363,4.010460205,8.249345398,9.226476144,0.0
0.780741625,-1.041234741,4.055067444,7.981252899,9.01266551,0.0
0.790682625,-1.162183228,4.091890869,7.790998535,8.876592754,0.0
0.800623625,-1.277144165,4.123924255,7.627538452,8.764541706,0.0
0.810565625,-1.381477203,4.14562912,7.585775299,8.7543536,0.0
0.820506625,-1.513502655,4.179159393,7.645052032,8.843239457,0.0
0.830447625,-1.601519623,4.198020172,7.770790558,8.97627007,0.0
0.840388625,-1.616638184,4.192182312,7.936046906,9.119690348,0.0
0.850329625,-1.513802032,4.157155151,8.191864929,9.310219469,0.0
0.860270625,-1.294208679,4.09877655,8.402776337,9.438304693,0.0
0.870212625,-1.04722229,4.038451996,8.513845367,9.481103944,0.0
0.880153625,-0.9042695618,3.956272888,8.482111359,9.402978874,0.0
0.890094625,-0.8867559814,3.885769501,8.331674194,9.235926357,0.0
0.900035625,-1.06473587,3.833977203,8.154143372,9.07320769,0.0
0.909976625,-1.404828644,3.808230743,8.035140839,9.002202687,0.0
0.919918625,-1.77620636,3.752696228,8.045319672,9.053441701,0.0
0.929859625,-2.029180298,3.707639923,8.17659668,9.204395675,0.0
0.939800625,-2.172582092,3.721710663,8.444389801,9.480451588,0.0
0.949741625,-2.066452789,3.733087006,8.620723114,9.618889371,0.0
0.959682625,-1.784588928,3.702700195,8.681646423,9.605505244,0.0
0.969624625,-1.508862305,3.665577393,8.688532104,9.550063518,0.0
0.979565625,-1.337618408,3.739224243,8.783434753,9.639488939,0.0
0.989506625,-1.229543152,3.855083313,9.007668457,9.874792896,0.0
