"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.526987500E-2,-1.167572021E-2,6.353238373E0,7.241940308E0,9.633767361E0
2.521087500E-2,-5.688171387E-3,6.280789032E0,8.012088776E0,1.018046707E1
3.515187500E-2,-1.468446350E-1,6.000721436E0,8.799750824E0,1.065203434E1
4.509387500E-2,-3.218307495E-1,5.588628387E0,9.445657654E0,1.097983565E1
5.503487500E-2,-5.397775269E-1,5.184169464E0,9.807006226E0,1.110604988E1
6.497587502E-2,-7.813751221E-1,4.957989807E0,9.891879730E0,1.109240707E1
7.491687502E-2,-1.039288788E0,4.877157898E0,9.686357117E0,1.089459979E1
8.485787502E-2,-1.247056732E0,4.861889648E0,9.349557495E0,1.061166089E1
9.479887501E-2,-1.260678406E0,4.929848328E0,9.016799469E0,1.035352052E1
1.047408750E-1,-1.135838013E0,5.123695221E0,8.696615295E0,1.015743562E1
1.146818750E-1,-9.663903809E-1,5.353916473E0,8.291707306E0,9.917194261E0
1.246228750E-1,-9.207353210E-1,5.519322510E0,7.884104919E0,9.667977290E0
1.345638750E-1,-1.017733612E0,5.594166870E0,7.572003937E0,9.469198926E0
1.445048750E-1,-1.209185486E0,5.686973877E0,7.322622528E0,9.350112411E0
1.544468750E-1,-1.289568329E0,5.768105164E0,7.077881470E0,9.221194595E0
1.643878750E-1,-1.187181244E0,5.743406525E0,6.931785278E0,9.079965031E0
1.743288750E-1,-1.039438477E0,5.716462555E0,6.869065704E0,8.996801662E0
1.842698750E-1,-9.349557495E-1,5.812712402E0,7.027586060E0,9.167809638E0
1.942108750E-1,-8.505313110E-1,5.951174469E0,7.449708252E0,9.572775674E0
2.041528750E-1,-7.087760925E-1,5.934559021E0,7.884104919E0,9.893455650E0
2.140938750E-1,-5.384303284E-1,5.796845398E0,8.160579987E0,1.002438973E1
2.240348750E-1,-4.791535950E-1,5.635930023E0,8.260422363E0,1.001138717E1
2.339758750E-1,-5.441184998E-1,5.443879395E0,8.235873413E0,9.887441463E0
2.439168750E-1,-7.143145752E-1,5.257666626E0,8.136480103E0,9.713681698E0
