Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
5.001084542,6.035898285,-1.87095932,6.365662537,8.96962744,1.0,0.0
5.011062542,6.31027771,-1.700763245,6.542594604,9.24758047,1.0,0.0
5.021040542,6.545887756,-1.733545074,6.630162506,9.476965754,1.0,0.0
5.031018542,6.326444092,-1.953288116,6.895410919,9.559598373,1.0,0.0
5.040996542,5.314847717,-2.36942276,7.18550766,9.246258206,1.0,0.0
5.050974542,5.876330109,-2.379751282,7.422165527,9.7613018,1.0,0.0
5.060952542,5.778882751,-3.040477295,7.833210754,10.19799876,1.0,0.0
5.070930542,5.987548828,-3.300636292,7.551346893,10.18664718,1.0,0.0
5.080908542,6.618187408,-3.345393219,8.098758545,10.9809813,1.0,0.0
5.090886542,7.256011047,-3.919449463,8.792416077,12.05480655,1.0,0.0
5.100864542,8.311615906,-4.335584106,8.980275421,12.98174084,1.0,0.0
5.110841542,9.35255127,-5.004243622,9.68710556,14.36498116,1.0,0.0
5.120819542,10.37791901,-5.879473572,10.28451324,15.74930554,1.0,0.0
5.130797542,11.08894043,-6.629414062,10.94943054,16.93528151,1.0,0.0
5.140775542,11.70086792,-6.954687653,11.64204025,17.91131184,1.0,0.0
5.150753542,12.2134021,-7.165299683,12.06416245,18.60249246,1.0,0.0
5.160731542,12.21250397,-7.094796295,12.22762253,18.68143839,1.0,0.0
5.170709542,11.71344177,-6.504873047,12.00129318,17.98747146,1.0,0.0
5.180687542,10.75079361,-5.778134308,11.511362,16.77730176,1.0,0.0
5.190665542,9.428443451,-5.032085724,10.75513458,15.16213549,1.0,0.0
5.200643542,7.980803833,-4.266427917,10.01537292,13.49827144,1.0,0.0
5.210621542,6.59348877,-3.34180069,9.249715118,11.840564,1.0,0.0
5.220599542,5.415887604,-2.689157867,8.555907898,10.47697325,1.0,0.0
5.230577542,4.560566254,-2.137405243,7.905360718,9.373472879,1.0,0.0
5.240555542,3.939358063,-1.692530365,7.254663849,8.426941826,1.0,0.0
5.250532542,3.524121552,-1.158590698,6.615493011,7.584623451,1.0,0.0
5.260510542,3.366499329,-1.051263885,6.05865097,7.010401206,1.0,0.0
5.270488542,3.492537231,-1.246607666,5.599855042,6.71641448,1.0,0.0
5.280466542,3.361110535,-0.6387217712,5.037474518,6.089431751,1.0,0.0
5.290444542,3.444487152,-0.730480957,4.705464935,5.877031089,1.0,0.0
5.300422542,3.684887238,-0.8343649292,4.278253326,5.707714982,1.0,0.0
5.310400542,3.848796387,-0.7839198303,3.861819305,5.508303938,1.0,0.0
5.320378542,4.046086121,-0.7587721252,3.524420929,5.419233425,1.0,0.0
5.330356542,4.230951691,-0.8898994446,3.362757111,5.477317648,1.0,0.0
5.340334542,4.480931854,-1.083596649,3.348237305,5.697685936,1.0,0.0
5.350312542,4.725822601,-1.330283661,3.545527039,6.055891005,1.0,0.0
5.360290542,5.003944244,-1.607806549,3.78293335,6.475730432,1.0,0.0
5.370268542,5.288203125,-1.88263504,4.048032074,6.920691487,1.0,0.0
5.380246542,5.520669708,-2.180814972,4.337679749,7.351817025,1.0,0.0
5.390223542,5.731730804,-2.518662415,4.656516724,7.802534612,1.0,0.0
5.400201542,5.890400848,-2.773731995,5.072651367,8.253617584,1.0,0.0
5.410179542,5.997278595,-2.993325348,5.484744415,8.660818003,1.0,0.0
5.420157542,6.05056778,-3.374881897,5.955515442,9.13604742,1.0,0.0
5.430135542,5.905220032,-3.497476959,6.418053589,9.396562168,1.0,0.0
5.440113542,5.545817413,-3.268902283,6.815477142,9.375102218,1.0,0.0
5.450091542,5.12728775,-3.107388153,7.2685849,9.422168925,1.0,0.0
5.460069542,4.795577545,-2.949017487,7.420518951,9.3144173,1.0,0.0
5.470047542,4.467908936,-2.819836121,7.418722687,9.107751221,1.0,0.0
5.480025542,4.256398773,-2.717898102,7.355554047,8.92233579,1.0,0.0
5.490003542,4.186344452,-2.782863007,7.242688751,8.816254688,1.0,0.0
5.499981542,4.251309357,-2.950514374,7.218139801,8.881481211,1.0,0.0
5.509959542,4.292174377,-2.970572662,7.246580658,8.930845092,1.0,0.0
5.519937542,4.512067108,-3.178639984,6.972650299,8.89271353,1.0,0.0
5.529914542,4.870571594,-3.483406219,6.726412354,9.005621005,1.0,0.0
5.539892542,5.43968811,-3.786076813,6.590494995,9.346614823,1.0,0.0
5.549870542,6.349047089,-4.295317841,6.738237762,10.20607674,1.0,0.0
5.559848542,7.804320831,-5.132377167,7.154522095,11.76587886,1.0,0.0
5.569826542,9.609117737,-5.70299057,7.827971649,13.64318091,1.0,0.0
5.579804542,11.43232635,-5.978118439,8.349337463,15.36708893,1.0,0.0
5.589782542,12.8079657,-6.433022461,8.863518219,16.8519945,1.0,0.0
