"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.427545833E-2,-1.546434174E0,4.637506256E0,8.807085571E0,1.007286847E1
4.425745834E-2,-1.963916016E0,4.690046997E0,9.038803711E0,1.037079937E1
5.423945833E-2,-2.509980469E0,4.693489838E0,9.112899628E0,1.055337806E1
6.422145833E-2,-2.909649353E0,5.222340088E0,7.571255493E0,9.646906504E0
7.420445833E-2,-2.736459503E0,5.192102966E0,8.295299835E0,1.016160141E1
8.418645833E-2,-2.282902679E0,4.597838745E0,9.070687408E0,1.042253020E1
9.416845833E-2,-1.931283875E0,4.087998962E0,9.125922546E0,1.018450074E1
1.041504583E-1,-1.744622040E0,3.890409851E0,9.236692200E0,1.017327271E1
1.141324583E-1,-1.692081299E0,3.848347321E0,9.441915436E0,1.033550595E1
1.241144583E-1,-1.683698730E0,3.831881561E0,9.830058289E0,1.068401627E1
1.340974583E-1,-1.865869904E0,3.844006348E0,1.035337006E1,1.120045208E1
1.440794583E-1,-2.210004272E0,3.798201599E0,1.108115662E1,1.192067474E1
1.540614583E-1,-2.116897888E0,3.534001007E0,1.145462997E1,1.217287836E1
1.640434583E-1,-1.841320953E0,2.772384796E0,1.040635986E1,1.092560781E1
1.740254583E-1,-3.649411011E-1,1.854194183E0,1.097487762E1,1.113638886E1
1.840074583E-1,1.360371094E0,1.475781097E0,1.367451370E1,1.382102979E1
1.939904583E-1,1.202000427E0,2.086511078E0,1.516062332E1,1.535066230E1
2.039724583E-1,1.285826111E0,1.805245972E0,1.370759491E1,1.388561918E1
2.139544583E-1,1.418600006E0,1.165775757E0,1.214933533E1,1.228730271E1
2.239364583E-1,7.518864441E-1,1.433269501E0,1.118623810E1,1.130272168E1
2.339184583E-1,1.855691071E0,1.198557587E0,1.049302963E1,1.072304996E1
2.439014583E-1,2.585423584E0,7.128176880E-1,9.970017242E0,1.032442579E1
2.538834583E-1,2.385888519E0,1.249900818E-1,1.028675858E1,1.056056289E1
2.638654583E-1,2.167492676E0,-6.906637573E-1,9.957144012E0,1.021370441E1
2.738474583E-1,1.375789032E0,-1.013242950E0,9.374256134E0,9.528700583E0
2.838294583E-1,-3.667373657E-2,-1.216370544E0,9.006021881E0,9.087867318E0
2.938114583E-1,-1.627266083E0,-1.352736969E0,9.286837921E0,9.524875368E0
3.037944583E-1,-2.419119415E0,-8.631051636E-1,1.003123993E1,1.035484736E1
3.137764583E-1,-2.393522644E0,2.847079468E-1,1.047821045E1,1.075187907E1
3.237584583E-1,-2.179318085E0,9.508227539E-1,1.006357269E1,1.034064730E1
