Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.03427545833,-1.546434174,4.637506256,8.807085571,10.07286847,0.0
0.04425745834,-1.963916016,4.690046997,9.038803711,10.37079937,0.0
0.05423945833,-2.509980469,4.693489838,9.112899628,10.55337806,0.0
0.06422145833,-2.909649353,5.222340088,7.571255493,9.646906504,0.0
0.07420445833,-2.736459503,5.192102966,8.295299835,10.16160141,0.0
0.08418645833,-2.282902679,4.597838745,9.070687408,10.4225302,0.0
0.09416845833,-1.931283875,4.087998962,9.125922546,10.18450074,0.0
0.1041504583,-1.74462204,3.890409851,9.2366922,10.17327271,0.0
0.1141324583,-1.692081299,3.848347321,9.441915436,10.33550595,0.0
0.1241144583,-1.68369873,3.831881561,9.830058289,10.68401627,0.0
0.1340974583,-1.865869904,3.844006348,10.35337006,11.20045208,0.0
0.1440794583,-2.210004272,3.798201599,11.08115662,11.92067474,0.0
0.1540614583,-2.116897888,3.534001007,11.45462997,12.17287836,0.0
0.1640434583,-1.841320953,2.772384796,10.40635986,10.92560781,0.0
0.1740254583,-0.3649411011,1.854194183,10.97487762,11.13638886,0.0
0.1840074583,1.360371094,1.475781097,13.6745137,13.82102979,0.0
0.1939904583,1.202000427,2.086511078,15.16062332,15.3506623,0.0
0.2039724583,1.285826111,1.805245972,13.70759491,13.88561918,0.0
0.2139544583,1.418600006,1.165775757,12.14933533,12.28730271,0.0
0.2239364583,0.7518864441,1.433269501,11.1862381,11.30272168,0.0
0.2339184583,1.855691071,1.198557587,10.49302963,10.72304996,0.0
0.2439014583,2.585423584,0.712817688,9.970017242,10.32442579,0.0
0.2538834583,2.385888519,0.1249900818,10.28675858,10.56056289,0.0
0.2638654583,2.167492676,-0.6906637573,9.957144012,10.21370441,0.0
0.2738474583,1.375789032,-1.01324295,9.374256134,9.528700583,0.0
0.2838294583,-0.03667373657,-1.216370544,9.006021881,9.087867318,0.0
0.2938114583,-1.627266083,-1.352736969,9.286837921,9.524875368,0.0
0.3037944583,-2.419119415,-0.8631051636,10.03123993,10.35484736,0.0
0.3137764583,-2.393522644,0.2847079468,10.47821045,10.75187907,0.0
0.3237584583,-2.179318085,0.9508227539,10.06357269,10.3406473,0.0
0.3337404583,-1.835034027,0.9181906128,9.250463562,9.475310021,0.0
0.3437224583,-1.462309113,0.9997709656,8.722062378,8.90012708,0.0
0.3537044583,-1.350491638,1.037642212,8.210126953,8.384909875,0.0
0.3636874583,-1.199904785,0.9927355957,7.616461487,7.774045346,0.0
0.3736694583,-1.020877075,1.070424042,7.618557129,7.760825366,0.0
