Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
205.0018666,-0.5460644531,-1.391805725,10.08228378,10.19253432,1.0,0.0
205.0119036,-0.4260140991,-1.736538849,10.32448013,10.47816516,1.0,0.0
205.0219406,-0.1399589539,-1.933379517,10.6686145,10.84328734,1.0,0.0
205.0319776,0.112565918,-1.848206635,11.01529358,11.16983579,1.0,0.0
205.0420146,0.07933502197,-1.427132263,11.63425644,11.72172869,1.0,0.0
205.0520516,-0.3188369751,-0.8066725159,12.59435989,12.62419418,1.0,0.0
205.0620886,-0.5902226257,-0.170944519,13.3215477,13.33571212,1.0,0.0
205.0721256,-0.9321116638,0.3192860413,13.610896,13.64651111,1.0,0.0
205.0821626,-1.510957947,0.6944059753,13.61823074,13.71938053,1.0,0.0
205.0921996,-1.99385376,1.021924896,13.40567276,13.59160938,1.0,0.0
205.1022376,-2.163151703,1.215622101,12.82308426,13.06095143,1.0,0.0
205.1122746,-2.035467224,1.30229187,12.16714828,12.40478087,1.0,0.0
205.1223116,-1.663041687,1.218615875,11.46660507,11.65048343,1.0,0.0
205.1323486,-1.163979492,1.044078827,10.71097641,10.82450759,1.0,0.0
205.1423856,-0.6026467896,0.8732839966,10.09845016,10.15403879,1.0,0.0
205.1524226,-0.03083587646,0.7237449646,9.688153381,9.715198071,1.0,0.0
205.1624596,0.5441184998,0.5387297058,9.464967499,9.495888815,1.0,0.0
205.1724966,0.9193881226,0.399818573,9.381441193,9.434859207,1.0,0.0
205.1825336,0.74065979,0.1904040527,9.379195862,9.410321229,1.0,0.0
205.1925706,0.5194198608,-0.02514770508,9.44490921,9.459214523,1.0,0.0
205.2026076,0.1826202393,-0.3339555359,9.7502742,9.757700725,1.0,0.0
205.2126446,-0.04071533203,-0.9656419373,10.28466293,10.32997646,1.0,0.0
205.2226816,0.1429527283,-1.500928802,10.36968613,10.47872192,1.0,0.0
205.2327186,0.1472937012,-1.681902466,10.16386414,10.30313668,1.0,0.0
205.2427556,0.182769928,-1.641037445,9.933343506,10.06964359,1.0,0.0
205.2527926,0.4170327759,-1.414408722,9.755662994,9.866480063,1.0,0.0
205.2628296,0.5051994324,-1.140478363,9.940079498,10.01803862,1.0,0.0
205.2728666,0.6595285034,-0.8391549683,10.51413574,10.56816963,1.0,0.0
205.2829036,1.007854156,-0.5477110291,11.2923674,11.35047659,1.0,0.0
205.2929406,1.040935364,-0.4397854614,11.7382901,11.79255749,1.0,0.0
205.3029776,0.9063652039,-0.8629554749,11.94515991,12.01053851,1.0,0.0
205.3130156,0.8315208435,-1.554816742,12.02599182,12.15456134,1.0,0.0
205.3230526,0.7976911926,-2.188449097,11.54144943,11.77415286,1.0,0.0
205.3330896,0.8646020508,-2.462080078,10.76112213,11.07299077,1.0,0.0
205.3431266,0.9310638428,-2.390379181,9.91298584,10.23953518,1.0,0.0
205.3531636,0.9912387085,-2.108814697,9.089099121,9.383036632,1.0,0.0
205.3632006,1.448687439,-1.480271759,8.643625488,8.888316002,1.0,0.0
205.3732376,1.938917999,-0.6569837952,8.753197632,8.989410409,1.0,0.0
205.3832746,1.972448273,-0.1044827271,9.148226166,9.359033647,1.0,0.0
205.3933116,1.810335388,0.04385879517,9.642348633,9.810918661,1.0,0.0
205.4033486,1.421593781,0.1219963074,9.931397552,10.0333678,1.0,0.0
205.4133856,1.056952057,0.3300636292,9.879156189,9.941016882,1.0,0.0
205.4234226,0.7188052368,0.4415817261,9.70821167,9.744796007,1.0,0.0
205.4334596,0.4107458496,0.5090913391,9.417516174,9.440206409,1.0,0.0
205.4434966,0.1916015625,0.5207670593,8.967252502,8.984404651,1.0,0.0
205.4535336,0.2574645996,0.5284011841,8.557853851,8.578015993,1.0,0.0
205.4635706,0.2906954956,0.4433779907,8.069868622,8.087265761,1.0,0.0
205.4736076,0.3327580261,0.3603007507,7.692952423,7.708570653,1.0,0.0
205.4836446,0.3637435913,0.3504212952,7.672594757,7.68920118,1.0,0.0
205.4936816,0.2176473999,0.3722758484,7.864346008,7.876160095,1.0,0.0
205.5037186,0.1595681763,0.3861968994,7.990084534,8.001003744,1.0,0.0
205.5137566,0.02320175171,0.3809577942,8.163424072,8.172341142,1.0,0.0
205.5237936,-0.06765930176,0.3086581421,8.183931427,8.190029379,1.0,0.0
205.5338306,-0.04161346436,0.2320175171,8.154442749,8.157849003,1.0,0.0
205.5438676,0.07319778442,0.2661465454,8.056696014,8.061423111,1.0,0.0
205.5539046,-0.003742218018,0.2577639771,7.993078308,7.997234341,1.0,0.0
205.5639416,-0.1161584473,0.2188449097,8.115972748,8.119753661,1.0,0.0
205.5739786,-0.2089654541,0.1134640503,8.415050812,8.418409637,1.0,0.0
205.5840156,-0.2043251038,0.1460961914,8.807384949,8.810966036,1.0,0.0
205.5940526,-0.2323168945,0.136665802,9.154363403,9.158330525,1.0,0.0
205.6040896,-0.2152523804,0.1157093811,9.469158783,9.472311772,1.0,0.0
205.6141266,-0.1881587219,0.2558180237,9.714947662,9.720136555,1.0,0.0
205.6241636,-0.1657054138,0.3267704773,9.749376068,9.75625804,1.0,0.0
205.6342007,-0.06451583862,0.406255188,9.761351166,9.77001444,1.0,0.0
205.6442377,-0.03128494263,0.5138813782,9.810598755,9.824097961,1.0,0.0
205.6542747,-0.15328125,0.7598199463,9.799372101,9.82998042,1.0,0.0
205.6643117,-0.4233197021,1.085093536,10.05803421,10.12524961,1.0,0.0
205.6743487,-0.5667214966,1.344055023,10.27298721,10.37602638,1.0,0.0
205.6843857,-0.5990542603,1.465602264,10.25487488,10.37638255,1.0,0.0
205.6944227,-0.5560935974,1.509910126,10.18197647,10.30833224,1.0,0.0
205.7044597,-0.4312532043,1.454076233,10.06941055,10.18299297,1.0,0.0
205.7144977,-0.3403921509,1.400787048,9.984686737,10.08821294,1.0,0.0
205.7245347,-0.3592529297,1.350940704,9.866432648,9.964968472,1.0,0.0
205.7345717,-0.429307251,1.245410156,9.790540466,9.878766816,1.0,0.0
205.7446087,-0.5281018066,1.105451202,9.856702881,9.932547788,1.0,0.0
205.7546457,-0.5228627014,0.9789642334,9.899064789,9.96108629,1.0,0.0
205.7646827,-0.535436554,0.9244775391,9.929750977,9.987056898,1.0,0.0
205.7747197,-0.5282514954,0.9678872681,10.14141083,10.20117978,1.0,0.0
205.7847567,-0.5560935974,1.044827271,10.49377808,10.5603164,1.0,0.0
205.7947937,-0.6062393188,1.081051941,10.87503525,10.945437,1.0,0.0
205.8048307,-0.5888754272,1.145717468,11.15585129,11.22998044,1.0,0.0
205.8148677,-0.5575904846,1.234632568,11.29221771,11.37318801,1.0,0.0
205.8249047,-0.5111869812,1.249152374,11.20659576,11.28758089,1.0,0.0
205.8349417,-0.4834945679,1.245410156,10.89404572,10.97565695,1.0,0.0
205.8449787,-0.4424798584,1.263821869,10.5120401,10.5969817,1.0,0.0
205.8550157,-0.3677851868,1.245559845,10.16072067,10.24338469,1.0,0.0
205.8650527,-0.3013233948,1.277892609,9.863738251,9.95073553,1.0,0.0
205.8750897,-0.2841091919,1.474733276,9.808503113,9.922816615,1.0,0.0
205.8851267,-0.3641926575,1.721420288,10.12509476,10.27684134,1.0,0.0
205.8951637,-0.4558021545,1.868264923,10.33944901,10.51676638,1.0,0.0
205.9052007,-0.5406756592,1.913620605,10.38660095,10.57524247,1.0,0.0
205.9152387,-0.5330415344,1.824855194,10.36235138,10.53530046,1.0,0.0
205.9252757,-0.3390449524,1.411714325,10.44408142,10.54451163,1.0,0.0
205.9353127,-0.2650987244,0.9226812744,10.35576508,10.40016771,1.0,0.0
205.9453497,-0.02649490356,0.7575746155,10.05773483,10.08626052,1.0,0.0
205.9553867,0.1273851013,0.5608836365,9.909992065,9.926669137,1.0,0.0
205.9654237,0.1489402771,0.1927990723,10.21535706,10.21826181,1.0,0.0
205.9754607,0.1187031555,0.1083746338,10.67744614,10.67865588,1.0,0.0
205.9854977,-0.03682342529,0.2447410583,11.12905701,11.13180866,1.0,0.0
205.9955347,-0.2137554932,0.310304718,11.51989426,11.52605501,1.0,0.0
206.0055717,-0.4323010254,0.5432203674,11.76987442,11.79033148,1.0,0.0
206.0156087,-0.783021698,0.7926017761,11.62632294,11.67958585,1.0,0.0
206.0256457,-1.147064667,0.8833131409,11.11393845,11.20783776,1.0,0.0
206.0356827,-1.428778839,0.8554710388,10.42566971,10.55783257,1.0,0.0
206.0457197,-1.582209778,0.7979905701,9.705666962,9.866111083,1.0,0.0
206.0557567,-1.679806824,0.7355703735,9.011560364,9.196251135,1.0,0.0
206.0657937,-1.697320404,0.6858737183,8.479866028,8.675220295,1.0,0.0
206.0758307,-1.668280792,0.6737489319,8.106841736,8.304094253,1.0,0.0
206.0858677,-1.500330048,0.6813830566,7.96598465,8.134628729,1.0,0.0
206.0959047,-1.308429108,0.7993377686,8.13677948,8.279982361,1.0,0.0
206.1059417,-1.11158844,0.9458830261,8.384065247,8.510162961,1.0,0.0
206.1159787,-0.9779164124,0.9946815491,8.537945251,8.651139868,1.0,0.0
206.1260157,-0.9331594849,1.047072601,8.572373657,8.686353537,1.0,0.0
206.1360537,-1.041983185,1.056802368,8.469537506,8.598582777,1.0,0.0
206.1460907,-1.242416382,0.999022522,8.394992523,8.545030364,1.0,0.0
206.1561277,-1.442999268,0.9431886292,8.403375092,8.578377737,1.0,0.0
206.1661647,-1.624421997,0.9409432983,8.407266998,8.614305514,1.0,0.0
206.1762017,-1.766626282,0.909508667,8.497229919,8.726459233,1.0,0.0
206.1862387,-1.891017609,0.7788304138,8.772357788,9.007595993,1.0,0.0
206.1962757,-1.918410645,0.6248007202,9.15002243,9.369823148,1.0,0.0
206.2063127,-1.837578735,0.5614823914,9.525741119,9.71759754,1.0,0.0
206.2163497,-1.792372742,0.5854325867,9.882149963,10.06042838,1.0,0.0
206.2263867,-1.732048187,0.5206173706,10.11506561,10.2754847,1.0,0.0
206.2364237,-1.756896515,0.463585968,10.24948608,10.40930172,1.0,0.0
206.2464607,-1.973196716,0.3784130859,10.19963974,10.39564104,1.0,0.0
206.2564977,-2.188449097,0.2894979858,10.09485764,10.3334055,1.0,0.0
206.2665347,-2.317031708,0.169896698,9.952054596,10.21963265,1.0,0.0
206.2765717,-2.371967468,0.06511459351,9.707163849,9.992972509,1.0,0.0
206.2866087,-2.394720154,0.07529342651,9.345216522,9.647456948,1.0,0.0
206.2966457,-2.404898987,0.0687071228,9.054371338,9.368559128,1.0,0.0
206.3066827,-2.208806763,-0.02409988403,8.874744873,9.145518284,1.0,0.0
206.3167197,-2.058070221,0.04161346436,8.777297516,9.015449872,1.0,0.0
206.3267567,-2.061063995,0.1178050232,8.732839966,8.973536465,1.0,0.0
206.3367947,-2.04878952,0.1008901978,8.752449188,8.989609787,1.0,0.0
