"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711311402316655E9,"2024-03-24 16:16:42.317 UTC-04:00"
"PAUSE",5.262494312500348E1,1.711311454940723E9,"2024-03-24 16:17:34.941 UTC-04:00"
"START",5.262494312500348E1,1.711311481075167E9,"2024-03-24 16:18:01.075 UTC-04:00"
"PAUSE",5.335890283333720E1,1.711311481809114E9,"2024-03-24 16:18:01.809 UTC-04:00"
"START",5.335890283333720E1,1.711311664854713E9,"2024-03-24 16:21:04.855 UTC-04:00"
"PAUSE",1.255746552916535E2,1.711311737069264E9,"2024-03-24 16:22:17.069 UTC-04:00"
"START",1.255746552916535E2,1.711311760547994E9,"2024-03-24 16:22:40.548 UTC-04:00"
"PAUSE",1.260081750416430E2,1.711311760981506E9,"2024-03-24 16:22:40.982 UTC-04:00"
"START",1.260081750416430E2,1.711312186439614E9,"2024-03-24 16:29:46.440 UTC-04:00"
"PAUSE",1.658490979583003E2,1.711312226279874E9,"2024-03-24 16:30:26.280 UTC-04:00"
"START",1.658490979583003E2,1.711312524095124E9,"2024-03-24 16:35:24.095 UTC-04:00"
"PAUSE",2.295047165416472E2,1.711312587749674E9,"2024-03-24 16:36:27.750 UTC-04:00"
"START",2.295047165416472E2,1.711312600439934E9,"2024-03-24 16:36:40.440 UTC-04:00"
"PAUSE",2.300539756666403E2,1.711312600989183E9,"2024-03-24 16:36:40.989 UTC-04:00"
"START",2.300539756666403E2,1.711312682513982E9,"2024-03-24 16:38:02.514 UTC-04:00"
"PAUSE",2.946621389999928E2,1.711312747121060E9,"2024-03-24 16:39:07.121 UTC-04:00"
"START",2.946621389999928E2,1.711312782764804E9,"2024-03-24 16:39:42.765 UTC-04:00"
"PAUSE",2.953269239583460E2,1.711312783429578E9,"2024-03-24 16:39:43.430 UTC-04:00"
"START",2.953269239583460E2,1.711312811319351E9,"2024-03-24 16:40:11.319 UTC-04:00"
"PAUSE",3.022271405416832E2,1.711312818219452E9,"2024-03-24 16:40:18.219 UTC-04:00"
