Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
225.0045465,12.51083359,9.621691589,-5.503455505,16.71484157,1.0,0.0
225.0144875,8.02675827,7.125482483,-3.613635406,11.32518034,1.0,0.0
225.0244285,4.441114655,4.808899841,-2.1857547,6.901198495,1.0,0.0
225.0343695,1.708547058,2.738704834,-1.60765686,3.606133358,1.0,0.0
225.0443105,-0.4605921936,1.094972992,-1.831291809,2.182828603,1.0,0.0
225.0542505,-2.058668976,0.0004490661621,-2.595153351,3.312542689,1.0,0.0
225.0641915,-3.087778931,-0.8198451233,-3.532055054,4.76255579,1.0,0.0
225.0741325,-3.463796997,-1.37249588,-4.150718536,5.577642777,1.0,0.0
225.0840735,-3.201692047,-1.692829742,-4.327650604,5.643143118,1.0,0.0
225.0940135,-2.600542145,-1.805245972,-4.005670166,5.105597511,1.0,0.0
225.1039545,-2.189047852,-1.791025543,-3.3522789,4.386054812,1.0,0.0
225.1138955,-2.073637848,-1.895208893,-2.581681366,3.815346557,1.0,0.0
225.1238365,-2.264041901,-2.117346954,-1.872905273,3.621714789,1.0,0.0
225.1337775,-2.568658447,-2.382146301,-1.209484863,3.706140965,1.0,0.0
225.1437175,-3.113824768,-2.628983002,-0.6818321228,4.1318702,1.0,0.0
225.1536585,-3.839515686,-2.767744446,-0.4122427368,4.751024531,1.0,0.0
225.1635995,-4.335584106,-2.8877948,-0.2243833923,5.214115098,1.0,0.0
225.1735405,-4.369713135,-2.884801025,-0.08801696777,5.236813614,1.0,0.0
225.1834815,-4.215533752,-2.559976501,-0.01586700439,4.931982995,1.0,0.0
225.1934215,-4.121828613,-2.136507111,0.06242019653,4.64306257,1.0,0.0
225.2033625,-3.853287048,-1.897753601,-0.05179229736,4.295575893,1.0,0.0
225.2133035,-3.611090698,-1.755848694,-0.2718347168,4.024534107,1.0,0.0
225.2232445,-2.891537018,-1.553319855,-0.413739624,3.308318209,1.0,0.0
225.2331855,-1.98681839,-0.986149292,-0.5984555054,2.297408699,1.0,0.0
225.2431255,-1.433419189,-0.302820282,-0.8503816223,1.693971546,1.0,0.0
225.2530665,-0.7914042664,0.230969696,-1.378184052,1.605944891,1.0,0.0
225.2630075,0.289947052,0.5822891235,-2.029928741,2.131605173,1.0,0.0
225.2729485,1.33627121,1.327738953,-2.743045807,3.327583473,1.0,0.0
225.2828895,2.759810944,2.910996552,-3.780238953,5.511865737,1.0,0.0
225.2928295,4.498295746,5.040468292,-4.825365601,8.302116501,1.0,0.0
225.3027705,5.936804352,7.510332184,-5.519921265,11.05080387,1.0,0.0
225.3127115,8.319250031,10.07030869,-5.839506683,14.30807032,1.0,0.0
225.3226525,12.79179932,12.74075546,-5.706732788,18.93472415,1.0,0.0
225.3325935,18.16592377,15.07365417,-5.6760466,24.27824832,1.0,0.0
225.3425335,23.95124313,16.94655945,-6.203100586,29.98877093,1.0,0.0
225.3524745,29.07314209,18.44464417,-7.341333618,35.20437002,1.0,0.0
225.3624155,33.45857254,19.47091003,-8.415948944,39.6159136,1.0,0.0
225.3723565,36.17542282,19.81160156,-8.912017365,42.19697651,1.0,0.0
225.3822975,36.02962601,19.44800766,-8.953630829,41.91093482,1.0,0.0
225.3922375,32.55370422,18.06263855,-8.609047394,38.21149391,1.0,0.0
225.4021785,27.05249405,15.74186462,-7.950117645,32.29315882,1.0,0.0
225.4121195,21.08425507,13.06243652,-7.350764008,25.86903151,1.0,0.0
225.4220605,15.5763089,10.9923912,-6.380631409,20.10389317,1.0,0.0
225.4320005,11.15315689,9.440418549,-5.421575775,15.58550272,1.0,0.0
225.4419415,7.88051239,8.142767029,-4.639152832,12.24454448,1.0,0.0
225.4518825,5.536686401,6.915020142,-4.057312775,9.743417615,1.0,0.0
225.4618235,3.856430511,5.780080261,-3.641178131,7.844715565,1.0,0.0
225.4717645,2.795586548,4.990921326,-3.560196533,6.737922468,1.0,0.0
225.4817045,2.139500885,4.843927002,-3.914360046,6.585082187,1.0,0.0
225.4916455,1.672322388,4.934488678,-4.366869049,6.798189904,1.0,0.0
225.5015865,1.260977783,4.767136688,-4.539160767,6.702211399,1.0,0.0
225.5115275,0.7563771057,4.229754181,-4.303251343,6.081192225,1.0,0.0
225.5214685,0.2302212524,3.523822174,-3.652404785,5.080392234,1.0,0.0
225.5314085,-0.3965254211,3.061433716,-2.772085419,4.148983776,1.0,0.0
225.5413495,-0.9924362183,2.985242157,-1.689087524,3.57066059,1.0,0.0
225.5512905,-1.350491638,2.981649628,-0.6734495544,3.341795396,1.0,0.0
225.5612315,-1.548679504,2.799179077,0.02514770508,3.199131776,1.0,0.0
225.5711725,-1.602417755,2.563269653,0.4373904419,3.054407369,1.0,0.0
225.5811125,-1.500479736,2.553539886,0.4971162415,3.003186632,1.0,0.0
225.5910535,-1.414259033,2.65143631,0.5203179932,3.049749815,1.0,0.0
225.6009945,-1.237326965,2.401755524,0.5878276062,2.764950074,1.0,0.0
225.6109355,-1.422042847,1.985022125,0.5589376831,2.504981044,1.0,0.0
225.6208765,-1.962718506,1.561403046,0.44697052,2.547552953,1.0,0.0
225.6308165,-2.385439453,1.065334625,0.3899391174,2.641460157,1.0,0.0
225.6407575,-2.687810669,0.5631289673,0.3772155762,2.771954548,1.0,0.0
225.6506985,-2.918031921,0.2392025757,0.4198768616,2.957773613,1.0,0.0
225.6606395,-2.698737946,0.09610015869,0.2667453003,2.713590757,1.0,0.0
225.6705805,-2.091151428,0.2381547546,-0.177381134,2.11213069,1.0,0.0
225.6805205,-1.750609589,0.7216493225,-0.7939489746,2.053233219,1.0,0.0
225.6904615,-1.655856628,1.281335449,-1.71303772,2.705213473,1.0,0.0
225.7004025,-1.81482605,1.816772003,-2.693947906,3.721775037,1.0,0.0
225.7103435,-2.539768524,2.686613159,-3.688629456,5.222480415,1.0,0.0
225.7202845,-3.822002106,4.173471222,-4.326303406,7.123374432,1.0,0.0
225.7302245,-5.241051178,6.329288177,-4.392316132,9.317775876,1.0,0.0
225.7401655,-5.614374847,8.706794128,-4.210144958,11.18278988,1.0,0.0
225.7501065,-3.425326996,10.94823303,-4.480632477,12.31554867,1.0,0.0
225.7600475,1.836381226,14.44451248,-4.768633575,15.32175261,1.0,0.0
225.7699885,9.971813507,19.12153656,-4.456682281,22.02117713,1.0,0.0
225.7799285,21.25609772,22.80822006,-5.012925568,31.57793558,1.0,0.0
225.7898695,31.38957504,24.40300369,-7.606582031,40.48051508,1.0,0.0
225.7998105,37.32533157,24.12039139,-11.44909149,45.89177872,1.0,0.0
225.8097515,39.32202942,22.12728607,-14.6419519,47.43654227,1.0,0.0
225.8196925,38.5101178,18.80359772,-16.70121964,45.99494752,1.0,0.0
225.8296325,36.14503601,15.53709045,-17.47346375,43.04865553,1.0,0.0
225.8395732,32.40835648,12.85721329,-16.78729065,38.69654546,1.0,0.0
225.8495142,27.61951492,11.04104004,-14.40768906,33.05032033,1.0,0.0
225.8594552,22.15527786,9.313183136,-10.55275543,26.2479021,1.0,0.0
225.8693962,16.90404785,6.788383484,-6.237379303,19.25445104,1.0,0.0
225.8793362,12.11490692,3.970942383,-2.460134125,12.98428331,1.0,0.0
225.8892772,7.938292236,1.925595703,0.4593946838,8.181408553,1.0,0.0
225.8992182,4.630770264,0.6126759338,2.339634705,5.224298574,1.0,0.0
